,Params,Score
50,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4976055383.374769
51,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3753043224.5406046
52,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10}",-33421664342.321033
53,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 100}",-5597635597.204065
54,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 1000}",-4197459928.2184324
55,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10000}",-3844832806.990821
56,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10}",-46180980084.65293
57,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 100}",-15197605575.564697
58,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 1000}",-42766890710.11638
59,"{'batch_size': -1, 'hidden_layers_sizes': [16, 8], 'learning_rate': 10, 'nb_epoch': 10000}",-10316941599.023626
60,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10}",-55939223708.354904
61,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 100}",-9706603386.663681
62,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4692394264.482157
63,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3534372146.237654
64,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10}",-21426795902.74008
65,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 100}",-5314933309.843167
